"","Sample","# ARG","# mobileARG_2","Stage","val"
"SID530177","SID530177",72,0,"CTRL",0
"SID530215","SID530215",83,5,"CTRL",5
"SID530227","SID530227",79,3,"CTRL",3
"SID530251","SID530251",108,0,"CTRL",0
"SID530258","SID530258",89,3,"CTRL",3
"SID530295","SID530295",97,5,"CTRL",5
"SID530315","SID530315",129,7,"CTRL",7
"SID530331","SID530331",81,9,"CTRL",9
"SID530364","SID530364",142,2,"CTRL",2
"SID530368","SID530368",58,0,"CTRL",0
"SID530394","SID530394",104,3,"CTRL",3
"SID530444","SID530444",72,1,"CTRL",1
"SID530451","SID530451",178,6,"CTRL",6
"SID531414","SID531414",91,5,"CTRL",5
"SID531424","SID531424",30,1,"CTRL",1
"SID532749","SID532749",94,5,"CTRL",5
"SID532779","SID532779",121,6,"CTRL",6
"SID532796","SID532796",92,4,"CTRL",4
"SID532802","SID532802",120,0,"CTRL",0
"SID532826","SID532826",103,5,"CTRL",5
"SID532915","SID532915",118,3,"CTRL",3
"MMRS12272136ST","MMRS12272136ST",81,0,"CRC",0
"MMRS14379078ST","MMRS14379078ST",66,0,"CRC",0
"MMRS14602194ST","MMRS14602194ST",167,2,"CRC",2
"MMRS15137911ST","MMRS15137911ST",174,9,"CRC",9
"MMRS16644320ST","MMRS16644320ST",162,5,"CRC",5
"MMRS18295921ST","MMRS18295921ST",86,0,"CRC",0
"MMRS24340226ST","MMRS24340226ST",63,4,"CRC",4
"MMRS25641480ST","MMRS25641480ST",92,4,"CRC",4
"MMRS31306426ST","MMRS31306426ST",86,5,"CRC",5
"MMRS34525504ST","MMRS34525504ST",60,0,"CRC",0
"MMRS41266697ST","MMRS41266697ST",161,6,"CRC",6
"MMRS41711735ST","MMRS41711735ST",122,5,"CRC",5
"MMRS42780924ST","MMRS42780924ST",106,3,"CRC",3
"MMRS43563715ST","MMRS43563715ST",82,5,"CRC",5
"MMRS43939546ST","MMRS43939546ST",158,3,"CRC",3
"MMRS44197125ST","MMRS44197125ST",78,1,"CRC",1
"MMRS44203591ST","MMRS44203591ST",54,3,"CRC",3
"MMRS44587603ST","MMRS44587603ST",120,1,"CRC",1
"MMRS47662059ST","MMRS47662059ST",153,5,"CRC",5
"MMRS47685461ST","MMRS47685461ST",96,6,"CRC",6
"MMRS51410669ST","MMRS51410669ST",73,2,"CRC",2
"MMRS51728985ST","MMRS51728985ST",89,4,"CRC",4
"MMRS54316675ST","MMRS54316675ST",171,3,"CRC",3
"MMRS55294627ST","MMRS55294627ST",93,5,"CRC",5
"MMRS59699117ST","MMRS59699117ST",49,0,"CRC",0
"MMRS62376181ST","MMRS62376181ST",85,4,"CRC",4
"MMRS64281211ST","MMRS64281211ST",156,1,"CRC",1
"MMRS65205033ST","MMRS65205033ST",69,0,"CRC",0
"MMRS65945127ST","MMRS65945127ST",138,5,"CRC",5
"MMRS67247116ST","MMRS67247116ST",94,3,"CRC",3
"MMRS68910755ST","MMRS68910755ST",86,5,"CRC",5
"MMRS71762412ST","MMRS71762412ST",100,8,"CRC",8
"MMRS72802364ST","MMRS72802364ST",76,1,"CRC",1
"MMRS72980899ST","MMRS72980899ST",104,3,"CRC",3
"MMRS77018926ST","MMRS77018926ST",74,0,"CRC",0
"MMRS77321055ST","MMRS77321055ST",87,4,"CRC",4
"MMRS77487595ST","MMRS77487595ST",166,2,"CRC",2
"MMRS78791111ST","MMRS78791111ST",78,4,"CRC",4
"MMRS80093644ST","MMRS80093644ST",161,11,"CRC",11
"MMRS81194191ST","MMRS81194191ST",76,2,"CRC",2
"MMRS81671217ST","MMRS81671217ST",97,2,"CRC",2
"MMRS84954772ST","MMRS84954772ST",90,1,"CRC",1
"MMRS85382779ST","MMRS85382779ST",159,5,"CRC",5
"MMRS86178473ST","MMRS86178473ST",86,3,"CRC",3
"MMRS86958796ST","MMRS86958796ST",83,6,"CRC",6
"MMRS90191266ST","MMRS90191266ST",99,4,"CRC",4
"MMRS92544445ST","MMRS92544445ST",157,6,"CRC",6
"MMRS93508324ST","MMRS93508324ST",80,3,"CRC",3
"MMRS96422329ST","MMRS96422329ST",80,3,"CRC",3
"MMRS97052561ST","MMRS97052561ST",90,5,"CRC",5
"MMRS97327636ST","MMRS97327636ST",81,4,"CRC",4
"MMRS99045180ST","MMRS99045180ST",53,2,"CRC",2
"MMRS11288076ST","MMRS11288076ST",82,4,"CTRL",4
"MMRS11932626ST","MMRS11932626ST",93,5,"CTRL",5
"MMRS17603756ST","MMRS17603756ST",84,5,"CTRL",5
"MMRS17963147ST","MMRS17963147ST",79,4,"CTRL",4
"MMRS20257302ST","MMRS20257302ST",110,1,"CTRL",1
"MMRS21365932ST","MMRS21365932ST",109,4,"CTRL",4
"MMRS25211151ST","MMRS25211151ST",105,5,"CTRL",5
